ahu	ahuria
ahuahu	ahuahungia
ai	aitia
akiaki	akiakina
ako	akona
amo	amohia
amuamu	amuamutia
ao	aohia
apiti	apitiria
apo	apohia
apoapo	apoapohia
apu	apuria
ara	arahia
arahi	arahina
arataki	aratakina
aro	arongia
aroha	arohatia
aru	arumia
aruaru	aruarumia
atawhai	atawhaitia
ato	atohia
aukaha	aukahatia
auru	aurutia
auē	auētia
aweke	aweketia
awhe	awhea
awhi	awhitia
awhina	awhinatia
ehu	ehua
eke	ekengia
epa	epaina
fakarārangi	fakarārangitia
haehae	haehaea
haere	haerea
hahau	hahautia
hahu	hahua
haina	hainatia
haka	hakaa
haku	hakua
hakuhaku	hakuhakua
hane	hanea
hanga	hangaa
hao	haoa
hari	haria
hauhake	hauhaketia
haupapa	haupapatia
heke	hekea
here	herengia
herehere	hereherea
heru	herua
heu	heua
heuheu	heuheutia
hiahia	hiahiatia
hihira	hihiratia
hihiri	hihiritia
hika	hikaia
hiki	hikitia
hiko	hikoia
hinga	hingana
hirihiri	hirihiria
hiwi	hiwia
hoe	hoea
hohou	hohoutia
hoki	hokia
hoko	hokona
hokohoko	hokohokona
hokomirimori	hokomirimoria
hongi	hongia
hongihongi	hongihongia
hono	honoa
hopu	hopukina
hora	horahia
hori	horia
horo	horoa
horoi	horoia
horomi	horomia
hou	houhia
houhou	houhoua
hua	huaina
huaki	huakina
huhu	huhua
huhuti	huhutia
hui	huia
huihui	huihuia
huke	hukea
huki	hukia
hukihuki	hukihukia
hume	humea
huna	hunaa
hunuhunu	hunuhunua
hura	hurahia
huri	hurihia
huru	hurua
huti	hutia
hī	hīa
hīanga	hīangatia
hāhau	hāhautia
hākere	hākerea
hīkoi	hīkoitia
hāmene	hāmenetia
hāpai	hāpaingia
hūpana	hūpanatanga
hūpeke	hūpeketia
hīpoki	hīpokina
hīrau	hīrautia
hīri	hīritia
hāwhe	hāwhetia
iheuheu	iheuheua
ihiihi	ihiihia
inaki	inakitia
inoi	inoia
inu	inumia
iri	iria
iti	itihaere
kahaki	kahakina
kai	kainga
kaingākau	kaingākautia
kaiponu	kaiponuhia
kakaro	kakarohia
kake	kakea
kanga	kangaa
kape	kapea
kapi	kapia
kapo	kapohia
karakia	karakiatia
karanga	karangahia
karapoti	karapotia
karawhiu	karawhiua
kare	karea
kari	karia
karo	karohia
kata	kataina
kati	katia
kato	katohia
kauhoe	kauhoetia
kaui	kauitia
kaukau	kaukauria
kaumātua	kaumātuatia
kaupare	kauparea
kauwhau	kauwhautia
kawe	kawea
kawhaki	kawhakina
keri	keria
ketu	ketua
ketuketu	ketuketua
keu	keua
kihi	kihia
kiki	kikia
kikini	kikinitia
kimi	kimihia
kini	kinitia
kite	kitea
ko	koia
koa	koaina
koara	koaratia
kohi	kohia
kohikohi	kohikohia
koingo	koingotia
koko	kokoa
kokoti	kōtia
komo	komotia
komutu	komutua
konatu	konatua
kopani	kopania
kopi	kopia
koro	koroa
korou	koroutia
kote	kotehia
kowhaki	kowhakina
kowhete	kowhetetia
kuhu	kuhua
kuke	kukea
kuku	kukua
kukuti	kūtia
kume	kumea
kumu	kumua
kuru	kurua
kuti	kutia
kī	kīa
kō	kōia
kā	kāngia
kōhari	kōharitia
kōhua	kōhuatia
kōhue	kōhuetia
kōhure	kōhurea
kōhuru	kōhurutia
kākahu	kākahuria
kōkiri	kōkiritia
kōmiri	kōmiria
kōpake	kōpaketia
kōpaki	kōpakina
kōpani	kōpania
kōpare	kōparea
kōpenupenu	kōpenupenutia
kōpiro	kōpiroa
kāpui	kāpuia
kōranga	kōrangatia
kōrero	kōrerotia
kōrori	kōroria
kōti	kōtia
kōtui	kōtuia
kāwhaki	kāwhakina
kōwhiri	kōwhiria
kōwhiti	kōwhitihia
kāwiri	kāwiritia
mahanga	mahangatia
mahara	maharatia
mahi	mahia
mahimahi	mahimahia
maka	makaa
maminga	mamingatia
manaaki	manaakitia
manako	manakotia
manawa	manawanui
mania	maniaa
mapu	mapua
maro	marohia
mate	matea
mau	mauria
mea	meatia
meke	mekea
mekemeke	mekemekehia
mihi	mihia
minita	minitatia
miraka	mirakatia
miri	miria
miro	miroa
mitimiti	mitimitia
moe	moea
momi	momia
momoto	momotokia
momotu	momotuhia
momotu	motuhia
mono	monokia
moto	motokia
motu	motuhia
mui	muia
muimui	muimuia
muku	mukua
mukumuku	mukumukua
muna	munaia
muri	muritai
muru	murua
mutumutu	mutumutua
māharahara	māharaharatia
mīharo	mīharotia
mōhio	mōhiotia
mōkete	mōketetia
mākiri	mākirihia
mākutu	mākuturia
mārau	māraua
mārena	mārenatia
mātakitaki	mātakitakina
mātau	mātauria
mātau	mātautia
māunu	māunutia
mōunu	mōunutia
nanao	nanaomia
nanao	naomia
nanati	nātia
narunga	narungatia
nati	natia
natu	natua
nehu	nehua
neke	nekehia
nekeneke	nekenekehia
ngahu	ngahua
ngaki	ngakia
ngare	ngarea
ngau	ngaua
ngaungau	ngaungaua
ngote	ngotea
niko	nikoa
noa	noatia
noho	nohoia
nonoti	nōtia
nuka	nukaia
nukarau	nukarautia
nuku	nukuhia
nukunuku	nukunukuhia
numi	numia
numu	numua
nēhi	nēhitia
oati	oatitia
oka	okaina
oke	okea
oma	omakia
onioni	onionitia
ono	onokia
opa	opaina
ore	orea
oro	orohia
ota	otaina
pae	paea
pai	paingia
paihere	paiheretia
paikarāihe	paikarāihetia
paka	pakatia
pakanga	pakangatia
pana	panaa
panga	pangaa
pani	pania
panipani	panipania
pao	paoa
paora	paoratia
paoro	paorotia
papaki	pākia
papare	parea
parai	paraitia
parakitihi	parakitihitia
parani	paranitia
parau	parautia
pare	parea
paro	paroa
pati	patia
patu	patua
patō	patōhia
pauna	paunatia
paura	pauratia
pehipehi	pehipehia
pei	peia
peka	pekaina
pere	perea
perehi	perehitia
piki	pikitia
piko	pikoa
pine	pinea
piro	pirongia
piu	piua
piupiu	piupiua
poipoi	poipoia
poka	pokaia
poke	pokea
pokuru	pokurua
pona	ponaia
popo	popotia
popoki	pōkia
poro	poroa
poroporo	poroporotia
pororua	pororuatia
porowhiu	porowhiua
pou	poua
puare	puaretia
puhi	puhia
punga	pungaa
pupuhi	pūhia
pupuri	pupuritia
pupuri	puritia
pupuru	purutia
purei	pureitia
puri	puritia
puru	purua
puruma	purumatia
purupuru	purupurua
purūma	purūmatia
puta	putaina
pū	pūia
pā	pāngia
pō	pōngia
pūawhe	pūawhea
pāera	pāeratia
pēhi	pēhia
pōhiri	pōhiritia
pāhua	pāhuatia
pōhēhē	pōhēhētia
pāike	pāikea
pōkai	pōkaia
pūkai	pūkaitia
pākarukaru	pākarukarua
pīkau	pīkautia
pākawe	pākawetia
pēke	pēketia
pēnei	pēneitia
pīnohi	pīnohitia
pānui	pānuitia
pīoi	pīoitia
pōpopo	pōpopotia
pūranga	pūrangatia
pīrangi	pīrangitia
pōrangi	pōrangitia
pūremu	pūremutia
pērā	pērātia
pōtae	pōtaea
pātai	pātaingia
pōti	pōtitia
pāuna	pāunatia
pōuto	pōutokia
